OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Region,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,GrossSales,DiscountAmount,Sales,Cost,Profit,PaymentMethod,OrderStatus
ORD000001,2025-04-18,CUST01189,Brooke Nichols,Male,40,Karachi,Sindh,P016,Vacuum Cleaner,Home Appliances,1,28000,0.0,28000,0.0,28000.0,19000,9000.0,Cash,Completed
ORD000002,2025-04-29,CUST00409,Vanessa Thompson,Female,59,Lahore,Balochistan,P002,Smartphone,Electronics,5,85000,0.0,425000,0.0,425000.0,325000,100000.0,Debit Card,Completed
ORD000003,2024-01-13,CUST02486,Blake Lynch,Female,54,Rawalpindi,KPK,P013,Coffee Maker,Home Appliances,1,15000,0.0,15000,0.0,15000.0,10000,5000.0,Credit Card,Completed
ORD000004,2024-06-01,CUST00797,Matthew Martin,Female,56,Faisalabad,KPK,P004,Smart Watch,Electronics,1,18000,0.2,18000,3600.0,14400.0,12000,2400.0,Cash,Completed
ORD000005,2024-08-26,CUST00861,Judy Robles,Female,51,Karachi,Punjab,P005,Keyboard,Accessories,4,4500,0.15,18000,2700.0,15300.0,11200,4100.0,Cash,Completed
ORD000006,2024-07-08,CUST04172,Jason Rodriguez,Female,34,Islamabad,Sindh,P012,Jeans,Fashion,1,4500,0.1,4500,450.0,4050.0,2700,1350.0,JazzCash,Completed
ORD000007,2025-10-24,CUST00366,Crystal Perez,Male,61,Multan,Balochistan,P015,Blender,Home Appliances,3,12000,0.2,36000,7200.0,28800.0,24000,4800.0,Cash,Completed
ORD000008,2024-03-26,CUST01515,Jerry Adams,Male,27,Karachi,Islamabad,P005,Keyboard,Accessories,5,4500,0.1,22500,2250.0,20250.0,14000,6250.0,Debit Card,Completed
ORD000009,2024-01-21,CUST04937,Eric Brown,Female,58,Rawalpindi,KPK,P005,Keyboard,Accessories,2,4500,0.1,9000,900.0,8100.0,5600,2500.0,JazzCash,Completed
ORD000010,2025-11-24,CUST02935,Jonathan Smith,Female,51,Karachi,Balochistan,P016,Vacuum Cleaner,Home Appliances,3,28000,0.15,84000,12600.0,71400.0,57000,14400.0,JazzCash,Completed
ORD000011,2024-11-14,CUST01584,Cassandra Rodriguez,Male,53,Peshawar,Sindh,P009,Backpack,Fashion,3,5500,0.0,16500,0.0,16500.0,9600,6900.0,Cash,Completed
ORD000012,2024-06-06,CUST00499,William Newman,Female,34,Quetta,Punjab,P015,Blender,Home Appliances,1,12000,0.0,12000,0.0,12000.0,8000,4000.0,Bank Transfer,Completed
ORD000013,2025-04-25,CUST03242,Michelle Hill,Male,52,Quetta,KPK,P004,Smart Watch,Electronics,3,18000,0.1,54000,5400.0,48600.0,36000,12600.0,Credit Card,Completed
